PI1748,Product Impact,Client Information,Cross-Sector,Client Savings Premium,"Price discount/savings obtained  by the consumer (client) when purchasing a product/service from the organization during the reporting period. This is a ratio of the average price paid by the consumer to the organization compared to the average price that would otherwise be paid for a similar good in the local market.

Organizations should footnote assumptions used in calculating this metric.
",Metric,Flow,Decimal
PI2476,Product Impact,Client Information,Cross-Sector,Communities Served,"Number of communities where the organization's products/services were available during the reporting period. 

Organizations should footnote definition of community and assumptions and guidelines on how this metric was calculated. ",Metric,Flow,Number of communities
OI8869,Operational Impact,Employees,Cross-Sector,Permanent Employees: Total,Number of people employed by the organization as of the end of the reporting period. This is the sum of all paid full-time and part-time employees. ,Metric,Stock,Number of people
OI2444,Operational Impact,Employees,Cross-Sector,Permanent Employees: Female,Number of females employed by the organization as of the end of the reporting period. This is the sum of all paid full-time and part-time female employees. ,Submetric,Stock,Number of people
OI8266,Operational Impact,Employees,Cross-Sector,Permanent Employees: Low Income Areas,Number of people employed by the organization that reside in low income areas  as of the end of the reporting period. This is the sum of all paid full-time and part-time employees residing in low-income areas. ,Submetric,Flow,Number of people
OI4038,Operational Impact,Employees,Cross-Sector,Permanent Employees: Disabilities,Number of people with disabilities employed by the organization as of the end of the reporting period. This is the sum of all paid full-time and part-time employees with disabilities. ,Submetric,Stock,Number of people
OI3236,Operational Impact,Employees,Cross-Sector,Permanent Employees: Minority/Previously Excluded,Number of people employed by the organization who belong to minority or previously excluded groups as of the end of the reporting period. This is the sum of all paid full-time and part-time minority or previously excluded employees. ,Submetric,Stock,Number of people
OI3160,Operational Impact,Employees,Cross-Sector,Full-time Employees: Total,"Number of paid full-time employees at the organization as of the end of the reporting period. 
",Metric,Stock,Number of people
OI6213,Operational Impact,Employees,Cross-Sector,Full-time Employees: Female ,Number of paid full-time female employees at the organization as of the end of the reporting period.,Submetric,Stock,Number of people
OI2003,Operational Impact,Employees,Cross-Sector,Full-time Employees: Disabilities ,Number of paid full-time employees at the organization with disabilities as of the end of the reporting period.,Submetric,Stock,Number of people
OI8147,Operational Impact,Employees,Cross-Sector,Full-time Employees: Minorities/Previously Excluded,Number of paid full-time employees at the organization who belong to minority or previously excluded groups as of the end of the reporting period.,Submetric,Stock,Number of people
OI8251,Operational Impact,Employees,Cross-Sector,Full-time Employees: Managers,"Number of paid full-time management employees at the organization as of the end of the reporting period.
",Submetric,Stock,Number of people
OI1571,Operational Impact,Employees,Cross-Sector,Full-time Employees: Female Managers,"Number of paid full-time female management employees at the organization as of the end of the reporting period.
",Submetric,Stock,Number of people
OI8292,Operational Impact,Employees,Cross-Sector,Full-time Employees: Managers with Disabilities,"Number of paid full-time management employees with disabilities at the organization as of the end of the reporting period.
",Submetric,Stock,Number of people
OI3140,Operational Impact,Employees,Cross-Sector,Full-time Employees: Minorities/Previously Excluded Managers,Number of paid full-time management employees at the organization who belong to minority or previously excluded groups  as of the end of the reporting period.,Submetric,Stock,Number of people
OI8864,Operational Impact,Employees,Cross-Sector,Part-time Employees: Total,Number of paid part-time employees at the organization as of the end of the reporting period.,Metric,Stock,Number of people
OI8838,Operational Impact,Employees,Cross-Sector,Part-time Employees: Female,Number of paid female part-time employees at the organization as of the end of the reporting period.,Submetric,Stock,Number of people
OI4571,Operational Impact,Employees,Cross-Sector,Part-time Employees: Disabilities,Number of paid part-time employees with disabilities at the organization as of the end of the reporting period.,Submetric,Stock,Number of people
OI6508,Operational Impact,Employees,Cross-Sector,Part-time Employees: Minorities/Previously Excluded,Number of paid part-time employees at the organization who belong to minority or previously excluded groups  as of the end of the reporting period.,Submetric,Stock,Number of people
OI9028,Operational Impact,Employees,Cross-Sector,Temporary Employees,Number of temporary employees paid by the organization during the reporting period.,Metric,Flow,Number of people
OI8408,Operational Impact,Employees,Cross-Sector,Temporary Employees Hours Worked,Number of paid hours worked by temporary employees of the organization during the reporting period.,Metric,Flow,Number of hours
OI4061,Operational Impact,Employees,Cross-Sector,Healthcare Benefits Participants,"Number of full-time employees who received healthcare benefits through the organization's programs during the reporting period.

Organizations should footnote the types of benefits provided  such as health and dental insurance or vision programs.",Metric,Flow,Number of people
OI3757,Operational Impact,Employees,Cross-Sector,Occupational Injuries,Indicate the number of occupational injuries which affected any full-time  part-time  or temporary employee of the organization during the reporting period.,Metric,Flow,Number of injuries
OI1166,Operational Impact,Employees,Cross-Sector,Volunteer Hours,Number of hours worked by volunteers who supported the organization during the reporting period.,Metric,Flow,Number of hours
OI8429,Operational Impact,Employees,Cross-Sector,Community Service Hours Contributed,Number of hours volunteered by full-time and part-time employees of the organization during the reporting period. ,Metric,Flow,Number of hours
OI4499,Operational Impact,Employees,Cross-Sector,Departing Permanent Employees: Total,Number of full-time and part-time employees departing the organization (for any reason) during the reporting period.,Metric,Flow,Number of people
OI3653,Operational Impact,Employees,Cross-Sector,Departing Permanent Employees: Full-time,Number of full-time employees departing the organization (for any reason) during the reporting period.,Submetric,Flow,Number of people
OI8431,Operational Impact,Employees,Cross-Sector,Departing Permanent Employees: Voluntary,Number of full-time and part-time employees departing the organization voluntarily during the reporting period.,Submetric,Flow,Number of people
OI1638,Operational Impact,Employees,Cross-Sector,Employee Turnover Rate,Ratio of the number of departing permanent (full-time and part-time) employees compared to the average number of permanent (full-time and part-time) employees at the organization during the reporting period. ,Metric,Flow,Decimal
OI6370,Operational Impact,Employees,Cross-Sector,Employees Dedicated to Social and Environmental Performance,Number of full-time equivalent employees dedicated to managing social and environmental performance during the reporting period.,Metric,Flow,FTEs
OI9677,Operational Impact,Wages,Cross-Sector,Permanent Employee Wages: Total,Value of wages (including bonuses  excluding benefits) paid to all full-time and part-time employees of the organization during the reporting period.,Metric,Flow,Reporting Currency (OD5990)
OI4559,Operational Impact,Wages,Cross-Sector,Permanent Employee Wages: Female,Value of wages (including bonuses  excluding benefits) paid to all female full-time and part-time employees of the organization during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI7064,Operational Impact,Wages,Cross-Sector,Permanent Employee Wages: Low Income Areas,Value of wages (including bonuses  excluding benefits) paid to all full-time and part-time employees of the organization who live in low income areas during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI1682,Operational Impact,Wages,Cross-Sector,Permanent Employee Wages: Disabilities,Value of wages (including bonuses  excluding benefits) paid to all full-time and part-time employees of the organization with disabilities during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI1084,Operational Impact,Wages,Cross-Sector,Permanent Employee Wages: Minorities/Previously Excluded,Value of wages (including bonuses  excluding benefits) paid to all full-time and part-time employees of the organization who belong to minority or previously excluded groups during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI5887,Operational Impact,Wages,Cross-Sector,Full-time Wages: Total,Value of wages (including bonuses  excluding benefits) paid to all full-time employees of the organization during the reporting period.,Metric,Flow,Reporting Currency (OD5990)
OI8941,Operational Impact,Wages,Cross-Sector,Full-time Wages: Female,Value of wages (including bonuses  excluding benefits) paid to all female full-time employees of the organization during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI1508,Operational Impact,Wages,Cross-Sector,Full-time Wages: Minority/Previously Excluded,Value of wages (including bonuses  excluding benefits) paid to all full-time employees of the organization who belong to minority or previously excluded groups during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI6069,Operational Impact,Wages,Cross-Sector,Full-time Wages: Management ,Value of wages (including bonuses  excluding benefits) paid to all full-time management employees of the organization during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI5247,Operational Impact,Wages,Cross-Sector,Full-time Wages: Female Management ,Value of wages (including bonuses  excluding benefits) paid to all full-time female management employees of the organization during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI3862,Operational Impact,Wages,Cross-Sector,Full-time Wages: Minority/Previously Excluded Management ,Value of wages (including bonuses  excluding benefits) paid to all full-time management employees of the organization who belong to minority or previously excluded groups during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI9948,Operational Impact,Wages,Cross-Sector,Part-time Wages: Total,Value of wages (including bonuses  excluding benefits) paid to all part-time employees of the organization during the reporting period.,Metric,Flow,Reporting Currency (OD5990)
OI8725,Operational Impact,Wages,Cross-Sector,Part-time Wages: Female,Value of wages (including bonuses  excluding benefits) paid to all female part-time employees of the organization during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI9956,Operational Impact,Wages,Cross-Sector,Part-time Wages: Minority/Previously Excluded,Value of wages (including bonuses  excluding benefits) paid to all part-time employees of the organization who belong to minority or previously excluded groups during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
OI4202,Operational Impact,Wages,Cross-Sector,Temporary Employee Wages,Value of wages (including bonuses  excluding benefits) paid to all temporary employees of the organization during the reporting period.,Metric,Flow,Reporting Currency (OD5990)
OI1582,Operational Impact,Wages,Cross-Sector,Wage Equity,Ratio between the wages paid during the reporting period to the highest compensated full-time employee (inclusive of bonus) as compared to the lowest paid full-time employee.,Metric,Flow,Decimal
OI9767,Operational Impact,Wages,Cross-Sector,Wage Premium,"Wage premium obtained by the employee as a result of working for the organization during the reporting period. This is the additional average wage paid to an employee of the organization compared to the average wage paid for a similar job in a similar industry/sector in the local market during the reporting period.

Organizations should footnote the assumptions used when reporting against this metric.",Metric,Flow,Decimal
FP5293,Financial Performance,Balance Sheet,Cross-Sector,Total Assets,Value  at the end of the reporting period  of all of the organization's assets.,Metric,Stock,Reporting Currency (OD5990)
FP9148,Financial Performance,Balance Sheet,Cross-Sector,Fixed Assets,Value  at the end of the reporting period  of the organization's long-term tangible assets that are not expected to be converted into cash in the current or upcoming fiscal year. Sometimes referred to as property  plant  and equipment (PP&E).,Submetric,Stock,Reporting Currency (OD5990)
FP6926,Financial Performance,Balance Sheet,Cross-Sector,Current Assets,Value  at the end of the reporting period  of the organization's assets that are reasonably expected to be converted into cash within one year in the normal course of business. ,Submetric,Stock,Reporting Currency (OD5990)
FP4649,Financial Performance,Balance Sheet,Cross-Sector,Financial Assets,Value  at the end of the reporting period  of the organization's non-physical assets such as cash  bank accounts  or other investments.,Submetric,Stock,Reporting Currency (OD5990)
FP5317,Financial Performance,Balance Sheet,Cross-Sector,Equity or Net Assets,"Value of the residual interest  at the end of the reporting period  in the assets of the organization after deducting all its liabilities. 

Net assets is equivalent to total assets minus total liabilities.",Submetric,Stock,Reporting Currency (OD5990)
FP8653,Financial Performance,Balance Sheet,Cross-Sector,Retained Earnings,Value of the sum of the organization's profits  cumulative from inception to the end of the reporting period  not paid out as dividends  but retained by the organization to be reinvested in its core business or to pay debt. ,Submetric,Stock,Reporting Currency (OD5990)
FP2852,Financial Performance,Balance Sheet,Cross-Sector,Accounts Payable,Value  at the end of the reporting period  of all outstanding debts that must be paid by the organization within a given period of time in order to avoid default.,Metric,Stock,Reporting Currency (OD5990)
FP2213,Financial Performance,Balance Sheet,Cross-Sector,Accounts Receivable,Value  at the end of the reporting period  of the organization's outstanding debts from clients who received goods or services on credit.,Metric,Stock,Reporting Currency (OD5990)
FP1996,Financial Performance,Balance Sheet,Cross-Sector,Total Liabilities,Value of organization's liabilities at the end of the reporting period.,Metric,Stock,Reporting Currency (OD5990)
FP2269,Financial Performance,Balance Sheet,Cross-Sector,Current Liabilities,Value  at the end of the reporting period  of all liabilities that are expected to be settled within one year in the normal course of business.,Submetric,Stock,Reporting Currency (OD5990)
FP6094,Financial Performance,Balance Sheet,Cross-Sector,Long Term Financial Liabilities,Value  at the end of the reporting period  of an organization's long term financial liabilities. ,Submetric,Stock,Reporting Currency (OD5990)
FP6750,Financial Performance,Balance Sheet,Cross-Sector,Loans Payable,Value of the remaining balance  at the end of the reporting period  on all the organization's outstanding debt obligations (both short-term and long-term) carried on the balance sheet.,Metric,Stock,Reporting Currency (OD5990)
FP7264,Financial Performance,Cash Flow,Cross-Sector,Cash and Cash Equivalents: Period Start ,Value of the organization's cash equivalents at the beginning of the reporting period. ,Metric,Stock,Reporting Currency (OD5990)
FP6462,Financial Performance,Cash Flow,Cross-Sector,Cash and Cash Equivalents- Period End ,Value of the organizations cash equivalents at the end of the reporting period. ,Metric,Stock,Reporting Currency (OD5990)
FP3466,Financial Performance,Cash Flow,Cross-Sector,Cash Flow: Net Total,Value of the organization's net cash flow at the end of the reporting period. Net cash flow equals inflows less outflows of cash and cash equivalents from operating  investing  financing  etc. activities.,Metric,Stock,Reporting Currency (OD5990)
FP4812,Financial Performance,Cash Flow,Cross-Sector,Cash Flow: Operating Activities ,Value of the organization's cash flows for the reporting period related to operating activities. ,Submetric,Flow,Reporting Currency (OD5990)
FP9703,Financial Performance,Cash Flow,Cross-Sector,Cash Flow: Investing Activities ,Value of the organization's cash flows for the reporting period related to investing activities by the organization. ,Submetric,Flow,Reporting Currency (OD5990)
FP8244,Financial Performance,Cash Flow,Cross-Sector,Cash Flow: Financing Activities ,Value of the organization's cash flows for the reporting period related to its financing activities. ,Submetric,Flow,Reporting Currency (OD5990)
FP8293,Financial Performance,Cash Flow,Cross-Sector,New Investment Capital,Value of funds invested in the organization (both loans and investments) during the reporting period.,Metric,Flow,Reporting Currency (OD5990)
FP1301,Financial Performance,Income Statement,Cross-Sector,Net Income,Value of the organization's net profit  calculated as total income minus total expenses  taxes  and cost of goods sold  during the reporting period. ,Metric,Flow,Reporting Currency (OD5990)
FP3274,Financial Performance,Income Statement,Cross-Sector,Net Income Before Donations,Value of the organization's net profit before donations  calculated as total income  excluding donations  minus total expenses during the reporting period. ,Metric,Flow,Reporting Currency (OD5990)
FP3673,Financial Performance,Income Statement,Cross-Sector,EBIT,"Value of the organization's net income before interest and taxes during the reporting period. 

Earnings Before Interest and Taxes (EBIT).",Metric,Flow,Reporting Currency (OD5990)
FP1657,Financial Performance,Income Statement,Cross-Sector,EBITDA,"Value of the organization's net income before interest  taxes  depreciation and amortization during the reporting period.

Earnings Before Interest  Taxes  Depreciation and Amortization (EBITDA).",Metric,Flow,Reporting Currency (OD5990)
FP6510,Financial Performance,Income Statement,Cross-Sector,Total Revenue,Value of all revenue received by the organization during the reporting period.,Metric,Flow,Reporting Currency (OD5990)
PI1775,Financial Performance,Income Statement,Cross-Sector,Sales Revenue,"Value of the revenue from sales of the organization's products/services during the reporting period.
",Submetric,Flow,Reporting Currency (OD5990)
FP8300,Financial Performance,Income Statement,Cross-Sector,Sales Revenue: Collected Directly,Value of the revenue from sales of the organization's products/services collected from clients directly during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
FP5624,Financial Performance,Income Statement,Cross-Sector,Sales Revenue: Collected from Third Party Payers,Value of the revenue from sales of the organization's products/services collected from public or private payers  during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
PI7321,Financial Performance,Income Statement,Cross-Sector,Sales Revenue: Certified,Value of the revenue from sales of the organization's certified products during the reporting period. ,Submetric,Flow,Reporting Currency (OD5990)
PI5920,Financial Performance,Income Statement,Cross-Sector,Sales Revenue: Exports,Value of the revenue from sales of international exports of the product/service during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
FP4849,Financial Performance,Income Statement,Cross-Sector,Non-Operating Revenue,Value of the revenue that is derived from activities not related to the organization's core operations  during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
FP3021,Financial Performance,Income Statement,Cross-Sector,Revenue from Grants and Donations,Value of the revenue that is contributed through grants and donations  during the reporting period. ,Submetric,Flow,Reporting Currency (OD5990)
FP7629,Financial Performance,Income Statement,Cross-Sector,Gross Profit,Value of the organization's residual profit after incurring the direct costs associated with production/delivery  for the reporting period.,Metric,Flow,Reporting Currency (OD5990)
FP2321,Financial Performance,Income Statement,Cross-Sector,Total Expenses,Value of all operating expenditures incurred by the organization during the reporting period.,Metric,Flow,Reporting Currency (OD5990)
FP9049,Financial Performance,Income Statement,Cross-Sector,Cost of Goods Sold,Value of direct expenditures attributable to the production of the goods sold by the organization during the reporting period. ,Submetric,Flow,Reporting Currency (OD5990)
FP1001,Financial Performance,Income Statement,Cross-Sector,Operating Expenses,Value of expenditures incurred by the organization as a result of performing its normal business operations  during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
FP9649,Financial Performance,Income Statement,Cross-Sector,Selling  General  and Administration Expenses,Value of all direct and indirect selling expenses and all general and administrative expenses incurred by the organization during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
FP4831,Financial Performance,Income Statement,Cross-Sector,Personnel Expenses,Value of expenditures related to personnel  including wages  benefits  trainings  and payroll taxes incurred by the organization  during the reporting period.,Submetric,Flow,Reporting Currency (OD5990)
FP1012,Financial Performance,Income Statement,Cross-Sector,Interest Expenses,Value of expenditures incurred by the organization  during the reporting period  due to interest incurred on all liabilities  including any client deposit accounts held by the organization  borrowings  subordinated debt  and other liabilities.,Submetric,Flow,Reporting Currency (OD5990)
FP9462,Financial Performance,Income Statement,Cross-Sector,Depreciation and Amortization Expenses,Value of expenses recorded by the organization during the reporting period for depreciation and amortization. ,Submetric,Flow,Reporting Currency (OD5990)
FP5261,Financial Performance,Income Statement,Cross-Sector,Payments to Government,Value of all transfers to the government made by the organization  during the reporting period. ,Metric,Flow,Reporting Currency (OD5990)
FP4761,Financial Performance,Ratios  Concepts  and Calculations,Cross-Sector,Revenue Growth,Growth in value of the organization's revenue from one reporting period to another. ,Metric,Stock,Decimal
FP4373,Financial Performance,Ratios  Concepts  and Calculations,Cross-Sector,Gross Margin,"Percent of revenue that the organization retains after incurring the direct costs associated with production/delivery of its products/services  for the reporting period.
",Metric,Stock,Decimal
FP3297,Financial Performance,Ratios  Concepts  and Calculations,Cross-Sector,Income Growth,Growth in value of the organization's net income from one reporting period to another. ,Metric,Stock,Decimal
FP7897,Financial Performance,Ratios  Concepts  and Calculations,Cross-Sector,Operating Profit Margin,Value of the proportion of the organization's revenue that is left over after paying for variable costs such as wages  raw materials  etc. during the reporting period.,Metric,Flow,Decimal
FP6856,Financial Performance,Ratios  Concepts  and Calculations,Cross-Sector,Working Capital,Value of the organization's operating liquidity  at the end of the reporting period.,Metric,Stock,Reporting Currency (OD5990)
FP4326,Financial Performance,Ratios  Concepts  and Calculations,Cross-Sector,Return on Assets (ROA),"Value of an organization's net profit after taxes generated per dollar invested in total assets for the reporting period.  

This is a profitability ratio calculated as net income divided by average total assets. ",Metric,Flow,Decimal
FP2651,Financial Performance,Ratios  Concepts  and Calculations,Cross-Sector,Return on Equity (ROE),"Value of an organization's net profit generated per dollar of shareholders' equity for the reporting period. 

This is a profitability ratio calculated as net income divided by average total equity or net assets. ",Metric,Flow,Decimal
FP3774,Financial Performance,Ratios  Concepts  and Calculations,Cross-Sector,Charitable Donations,Value of all financial contributions and in-kind donations of goods and services made by the organization to charities  private foundations  non-profits or non-governmental organizations  during the reporting period.,Metric,Flow,Decimal
OI6697,Operational Impact,Environmental Performance,Cross-Sector,Energy Conservation,"Amount of energy saved by the organization through energy conservation techniques employed to reduce the amount of energy needed to carry out the same processes or tasks  during the reporting period. 

Organizations should footnote conservation strategies employed and calculation method.",Metric,Flow,Number of kWh
OI9624,Operational Impact,Environmental Performance,Cross-Sector,Energy Produced On-site: Total,"Amount of on-site energy produced and consumed by the organization during the reporting period.
",Metric,Flow,Number of kWh
OI1495,Operational Impact,Environmental Performance,Cross-Sector,Energy Produced On-site: Non-Renewable,Amount of on-site energy produced and consumed by the organization from non-renewable sources such as coal  natural gas  and crude oil derivatives during the reporting period.,Submetric,Flow,Number of kWh
OI2496,Operational Impact,Environmental Performance,Cross-Sector,Energy Produced On-site: Renewable,Amount of on-site energy produced and consumed by the organization from renewable sources such as solar  wind  geothermal  hydro energy  and biomass during the reporting period.,Submetric,Flow,Number of kWh
OI8825,Operational Impact,Environmental Performance,Cross-Sector,Energy Purchased: Total,Amount of purchased energy consumed by the organization during the reporting period.,Metric,Flow,Number of kWh
OI1496,Operational Impact,Environmental Performance,Cross-Sector,Energy Purchased: Non-Renewable,Amount of purchased energy consumed by the organization from non-renewable sources such as coal  nuclear energy  natural gas  and crude oil derivatives during the reporting period.,Submetric,Flow,Number of kWh
OI3324,Operational Impact,Environmental Performance,Cross-Sector,Energy Purchased: Renewable,Amount of purchased energy consumed by the organization from renewable sources such as solar  wind  geothermal  hydro energy  and biomass during the reporting period.,Submetric,Flow,Number of kWh
OI1479,Operational Impact,Environmental Performance,Cross-Sector,Greenhouse Gas Emissions: Total,"Amount of greenhouse gases (GHG) emitted through the organization's operations during the reporting period. This should include GHG emissions from direct and indirect sources. 

Organizations should footnote calculations and assumptions.",Metric,Flow,Number of metric tonnes of CO2 equivalent
OI4112,Operational Impact,Environmental Performance,Cross-Sector,Greenhouse Gas Emissions: Direct,"Amount of greenhouse gases (GHG) emitted from direct emissions sources during the reporting period. 

Organizations should footnote calculations and assumptions.",Submetric,Flow,Number of metric tonnes of CO2 equivalent
OI9604,Operational Impact,Environmental Performance,Cross-Sector,Greenhouse Gas Emissions: Indirect,"Amount of greenhouse gases (GHG) emitted from indirect emissions sources during the reporting period. 

Organizations should footnote calculations and assumptions.",Submetric,Flow,Number of metric tonnes of CO2 equivalent
OI4328,Operational Impact,Environmental Performance,Cross-Sector,Recycled Materials,Amount of recycled materials used in the organization's products (including packaging) during the reporting period.,Metric,Flow,Unit of Measure (PD1602)
OI5942,Operational Impact,Environmental Performance,Cross-Sector,Toxic Materials,Amount of toxic materials used in the organization's manufacturing processes during the reporting period.,Metric,Flow,Unit of Measure (PD1602)
OI6192,Operational Impact,Environmental Performance,Cross-Sector,Waste Disposed: Total,Amount of waste disposed by the organization during the reporting period.,Metric,Flow,Unit of Measure (PD1602)
